,src,dest
128,/wiki/Studio_Ghibli,/wiki/Mary_Norton_(author)
129,/wiki/Studio_Ghibli,/wiki/Warner_Bros._Home_Entertainment
130,/wiki/Studio_Ghibli,/wiki/GKIDS#Studio_Ghibli_Fest
131,/wiki/Studio_Ghibli,/wiki/Woody_Allen
132,/wiki/Studio_Ghibli,/wiki/WarnerMedia
133,/wiki/Studio_Ghibli,/wiki/Netflix
134,/wiki/Studio_Ghibli,/wiki/Shinchosha
135,/wiki/Studio_Ghibli,/wiki/VHS
136,/wiki/Studio_Ghibli,/wiki/DVD
137,/wiki/Studio_Ghibli,/wiki/Warner_Home_Video
138,/wiki/Studio_Ghibli,/wiki/Blu-ray_Disc
139,/wiki/Studio_Ghibli,/wiki/Central_Park_Media
140,/wiki/Studio_Ghibli,/wiki/A.D._Vision#ADV_Films
141,/wiki/Studio_Ghibli,/wiki/Sentai_Filmworks
142,/wiki/Studio_Ghibli,/wiki/Blu-ray
143,/wiki/Studio_Ghibli,/wiki/Seraphim_Digital
144,/wiki/Studio_Ghibli,/wiki/StudioCanal
145,/wiki/Studio_Ghibli,/wiki/List_of_Studio_Ghibli_works
146,/wiki/Studio_Ghibli,/wiki/Panda!_Go_Panda!
147,/wiki/Studio_Ghibli,/wiki/Jarinko_Chie
148,/wiki/Studio_Ghibli,/wiki/Gauche_the_Cellist
149,/wiki/Studio_Ghibli,/wiki/Modest_Heroes
150,/wiki/Studio_Ghibli,/wiki/Toei_Animation
151,/wiki/Studio_Ghibli,/wiki/TMS_Entertainment
152,/wiki/Studio_Ghibli,/wiki/Sony_Pictures_Classics
153,/wiki/Studio_Ghibli,/wiki/Rotten_Tomatoes
154,/wiki/Studio_Ghibli,/wiki/Metacritic
155,/wiki/Studio_Ghibli,/wiki/List_of_films_with_a_100%25_rating_on_Rotten_Tomatoes
156,/wiki/Studio_Ghibli,/wiki/Pom_Poko
157,/wiki/Studio_Ghibli,/wiki/Shang_Shang_Typhoon
158,/wiki/Studio_Ghibli,/wiki/Whisper_of_the_Heart
159,/wiki/Studio_Ghibli,/wiki/Yuji_Nomi
160,/wiki/Studio_Ghibli,/wiki/Akiko_Yano
161,/wiki/Studio_Ghibli,/wiki/The_Cat_Returns
162,/wiki/Studio_Ghibli,/wiki/Reiko_Yoshida
163,/wiki/Studio_Ghibli,/wiki/C%C3%A9cile_Corbel
164,/wiki/Studio_Ghibli,/wiki/Satoshi_Takebe
165,/wiki/Studio_Ghibli,/wiki/Masashi_Ando
166,/wiki/Studio_Ghibli,"/wiki/Ronja,_the_Robber%27s_Daughter_(TV_series)"
167,/wiki/Studio_Ghibli,/wiki/Mine_Yoshizaki
168,/wiki/Studio_Ghibli,/wiki/Yusuke_Yamamoto
169,/wiki/Studio_Ghibli,/wiki/Mamiko_Ikeda
170,/wiki/Studio_Ghibli,/wiki/Hayao_Miyazaki#Themes
171,/wiki/Studio_Ghibli,/wiki/Paranoia_Agent
172,/wiki/Studio_Ghibli,/wiki/Paprika_(2006_film)
173,/wiki/Studio_Ghibli,/wiki/Makiko_Futaki
174,/wiki/Studio_Ghibli,/wiki/Akira_(1988_film)
175,/wiki/Studio_Ghibli,/wiki/Angel%27s_Egg
176,/wiki/Studio_Ghibli,/wiki/Katsuya_Kond%C5%8D
177,/wiki/Studio_Ghibli,/wiki/Kitar%C5%8D_K%C5%8Dsaka
178,/wiki/Studio_Ghibli,/wiki/Monster_(manga)
179,/wiki/Studio_Ghibli,/wiki/Master_Keaton
180,/wiki/Studio_Ghibli,/wiki/Nasu_(manga)
181,/wiki/Studio_Ghibli,/wiki/Kazuo_Oga
182,/wiki/Studio_Ghibli,/wiki/The_Night_of_Taneyamagahara
183,/wiki/Studio_Ghibli,/wiki/Kenichi_Yoshida_(animator)
184,/wiki/Studio_Ghibli,/wiki/Overman_King_Gainer
185,/wiki/Studio_Ghibli,/wiki/Eureka_Seven
186,/wiki/Studio_Ghibli,/wiki/Akihiko_Yamashita
187,/wiki/Studio_Ghibli,/wiki/Tide-Line_Blue
188,/wiki/Studio_Ghibli,/wiki/Princess_Nine
189,/wiki/Studio_Ghibli,/wiki/Strange_Dawn
190,/wiki/Studio_Ghibli,/wiki/Hideaki_Anno
191,/wiki/Studio_Ghibli,/wiki/Neon_Genesis_Evangelion
192,/wiki/Studio_Ghibli,/wiki/Takashi_Nakamura
